# Sugarloaf-Chiricahua-NM Site number 11
# Filter out cloudy times ? NO
# Cloud fitting ndata 11 Chisqlimit 0.009
# darklimit 29.0
# brightlimit 1.0
#JD,JDM,UTC,Tloc,LST,chisquared,moonalt,sunalt,MWalt,Etempc,volt,SQM,Winds,run_count,night_count,JD_mid
2460310.791667, 0.000000,     2024-01-01 07:00:00, 2024-01-01 00:00:00,   6.407864, 4.0000e-05, 25.180, -79.938, 81.399, 4.97,  12.78, 20.55,     1.912,     0,    0, 0.791667
2460310.798611, 0.166670,     2024-01-01 07:10:00, 2024-01-01 00:10:00,   6.574987, 9.1429e-05, 27.234, -80.722, 79.356, 4.96,  12.77, 20.49,     1.917,     1,    0, 0.791667
2460310.805556, 0.333330,     2024-01-01 07:20:00, 2024-01-01 00:20:00,   6.742110, 9.1429e-05, 29.285, -81.016, 77.277, 5.09,  12.77, 20.43,     2.063,     2,    0, 0.791667
2460310.812500, 0.500000,     2024-01-01 07:30:00, 2024-01-01 00:30:00,   6.909233, 1.8286e-04, 31.331, -80.774, 75.176, 5.02,  12.74, 20.36,     2.018,     3,    0, 0.791667
2460310.819444, 0.666670,     2024-01-01 07:40:00, 2024-01-01 00:40:00,   7.076356, 1.0000e-05, 33.371, -80.035, 73.065, 5.07,  12.75, 20.27,     2.070,     4,    0, 0.791667
2460310.826389, 0.833330,     2024-01-01 07:50:00, 2024-01-01 00:50:00,   7.243479, 1.1429e-05, 35.403, -78.897, 70.946, 4.96,  12.76, 20.14,     2.308,     5,    0, 0.791667
2460310.833333, 1.000000,     2024-01-01 08:00:00, 2024-01-01 01:00:00,   7.410602, 2.2857e-05, 37.426, -77.470, 68.822, 4.99,  12.76, 20.01,     2.223,     6,    0, 0.791667
2460310.840278, 1.166670,     2024-01-01 08:10:00, 2024-01-01 01:10:00,   7.577725, 4.5714e-05, 39.437, -75.840, 66.698, 4.77,  12.75, 19.88,     2.157,     7,    0, 0.791667
2460310.847222, 1.333330,     2024-01-01 08:20:00, 2024-01-01 01:20:00,   7.744848, 1.0000e-05, 41.433, -74.071, 64.572, 4.77,  12.75, 19.75,     2.125,     8,    0, 0.791667
2460310.854167, 1.500000,     2024-01-01 08:30:00, 2024-01-01 01:30:00,   7.911971, 1.1429e-05, 43.412, -72.204, 62.447, 5.21,  12.72, 19.61,     2.309,     9,    0, 0.791667
